run_accession	sample_accession	experiment_accession	experiment_title	experiment_alias	run_alias	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	fastq_ftp	sra_ftp
SRR13806024	SAMN18089831	SRX10189016	Illumina HiSeq 2500 sequencing: NivoExposed Near RNA R1	NivoExposed_Near_RNA	NivoExposed_SupraLateral_R1.fastq.gz	NivoExposed_Near_RNA	NivoExposed_Near_RNA	NivoExposed_Near_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/024/SRR13806024/SRR13806024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/024/SRR13806024/SRR13806024_2.fastq.gz	
SRR13806025	SAMN18089830	SRX10189015	Illumina HiSeq 2500 sequencing: Untreated 2 Normal RNA R1	UT2_Normal_RNA	UT2_Normal_R1.fastq.gz	UT2_Normal_RNA	UT2_Normal_RNA	UT2_Normal_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/025/SRR13806025/SRR13806025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/025/SRR13806025/SRR13806025_2.fastq.gz	
SRR13806023	SAMN18089833	SRX10189017	Illumina HiSeq 2500 sequencing: NivoExposed Far RNA R1	NivoExposed_Far_RNA	NivoExposed_LowerLateral_R1.fastq.gz	NivoExposed_Far_RNA	NivoExposed_Far_RNA	NivoExposed_Far_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/023/SRR13806023/SRR13806023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/023/SRR13806023/SRR13806023_2.fastq.gz	
SRR13806027	SAMN18089880	SRX10189013	Illumina HiSeq 2500 sequencing: IpiNivo Complete PBMC TCR L1 R1	IpiNivo_Complete_PBMC_TCR	IpiNivo_CompleteResponse_PBMC_SC10TCR_IGO_09335_F_1_S1_L001_R1_001.fastq.gz	IpiNivo_Complete_PBMC_TCR	IpiNivo_Complete_PBMC_TCR	IpiNivo_Complete_PBMC_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/027/SRR13806027/SRR13806027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/027/SRR13806027/SRR13806027_2.fastq.gz	
SRR13806031	SAMN18089876	SRX10189009	Illumina HiSeq 2500 sequencing: IpiNivo Complete Center TCR L1 R1	IpiNivo_Complete_Center_TCR	IpiNivo_CompleteResponse_CENTER_SC10_TCR_IGO_09335_G_1_S1_L001_R1_001.fastq.gz	IpiNivo_Complete_Center_TCR	IpiNivo_Complete_Center_TCR	IpiNivo_Complete_Center_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/031/SRR13806031/SRR13806031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/031/SRR13806031/SRR13806031_2.fastq.gz	
SRR13806028	SAMN18089879	SRX10189012	Illumina HiSeq 2500 sequencing: IpiNivo Complete Normal TCR L1 R1	IpiNivo_Complete_Normal_TCR	IpiNivo_CompleteResponse_NORMALKIDNEY_SC10TCR_IGO_09335_F_2_S2_L001_R1_001.fastq.gz	IpiNivo_Complete_Normal_TCR	IpiNivo_Complete_Normal_TCR	IpiNivo_Complete_Normal_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/028/SRR13806028/SRR13806028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/028/SRR13806028/SRR13806028_2.fastq.gz	
SRR13806033	SAMN18089874	SRX10189007	Illumina HiSeq 2500 sequencing: IpiNivo Mixed Normal TCR L1 R1	IpiNivo_Mixed_Normal_TCR	IpiNivo_Mixed_SC08_Normal_TCR_IGO_09335_E_3_S3_L001_R1_001.fastq.gz	IpiNivo_Mixed_Normal_TCR	IpiNivo_Mixed_Normal_TCR	IpiNivo_Mixed_Normal_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/033/SRR13806033/SRR13806033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/033/SRR13806033/SRR13806033_2.fastq.gz	
SRR13806032	SAMN18089875	SRX10189008	Illumina HiSeq 2500 sequencing: IpiNivo Mixed PBMC TCR L1 R1	IpiNivo_Mixed_PBMC_TCR	IpiNivo_Mixed_SC08_PBMCs_TCR_IGO_09335_E_2_S2_L001_R1_001.fastq.gz	IpiNivo_Mixed_PBMC_TCR	IpiNivo_Mixed_PBMC_TCR	IpiNivo_Mixed_PBMC_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/032/SRR13806032/SRR13806032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/032/SRR13806032/SRR13806032_2.fastq.gz	
SRR13806036	SAMN18089872	SRX10189004	Illumina HiSeq 2500 sequencing: IpiNivo Mixed Far TCR L1 R1	IpiNivo_Mixed_Far_TCR	IpiNivo_Mixed_SC08_Far_TCR_IGO_09335_E_4_S4_L001_R1_001.fastq.gz	IpiNivo_Mixed_Far_TCR	IpiNivo_Mixed_Far_TCR	IpiNivo_Mixed_Far_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/036/SRR13806036/SRR13806036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/036/SRR13806036/SRR13806036_2.fastq.gz	
SRR13806035	SAMN18089829	SRX10189005	Illumina HiSeq 2500 sequencing: Untreated 2 Far RNA R1	UT2_Far_RNA	UT2_Far_R1.fastq.gz	UT2_Far_RNA	UT2_Far_RNA	UT2_Far_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/035/SRR13806035/SRR13806035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/035/SRR13806035/SRR13806035_2.fastq.gz	
SRR13806037	SAMN18089871	SRX10189003	Illumina HiSeq 2500 sequencing: IpiNivo Mixed Center TCR L1 R1	IpiNivo_Mixed_Center_TCR	IpiNivo_Mixed_SC08_Center_TCR_IGO_09335_E_6_S6_L001_R1_001.fastq.gz	IpiNivo_Mixed_Center_TCR	IpiNivo_Mixed_Center_TCR	IpiNivo_Mixed_Center_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/037/SRR13806037/SRR13806037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/037/SRR13806037/SRR13806037_2.fastq.gz	
SRR13806038	SAMN18089870	SRX10189002	Illumina HiSeq 2500 sequencing: IpiNivo Resistant PBMC TCR L1 R1	IpiNivo_Resistant_PBMC_TCR	IpiNivo_Resistant_PBMCs_TCR_IGO_09335_D_2_S2_L001_R1_001.fastq.gz	IpiNivo_Resistant_PBMC_TCR	IpiNivo_Resistant_PBMC_TCR	IpiNivo_Resistant_PBMC_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/038/SRR13806038/SRR13806038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/038/SRR13806038/SRR13806038_2.fastq.gz	
SRR13806041	SAMN18089867	SRX10188999	Illumina HiSeq 2500 sequencing: IpiNivo Resistant Near TCR L1 R1	IpiNivo_Resistant_Near_TCR	IpiNivo_Resistant_NearRegion_TCR_IGO_09335_D_6_S6_L001_R1_001.fastq.gz	IpiNivo_Resistant_Near_TCR	IpiNivo_Resistant_Near_TCR	IpiNivo_Resistant_Near_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/041/SRR13806041/SRR13806041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/041/SRR13806041/SRR13806041_2.fastq.gz	
SRR13806046	SAMN18089827	SRX10188994	Illumina HiSeq 2500 sequencing: Untreated 2 Center RNA R1	UT2_Center_RNA	UT2_Center_R1.fastq.gz	UT2_Center_RNA	UT2_Center_RNA	UT2_Center_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/046/SRR13806046/SRR13806046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/046/SRR13806046/SRR13806046_2.fastq.gz	
